threads,wall_s,cpu_s,speedup,efficiency,ncands
1,77.7335,77.730,1.0000,1.0000,42
2,40.1174,80.030,1.9376,0.9688,42
4,21.6511,84.360,3.5903,0.8976,42
8,10.9788,85.030,7.0803,0.8850,42
16,5.3106,81.810,14.6374,0.9148,42
32,3.1541,94.140,24.6454,0.7702,42
48,2.9040,110.850,26.7677,0.5577,42
