threads,wall_s,cpu_s,speedup,efficiency,ncands
1,74.2719,74.270,1.0000,1.0000,42
2,37.5519,74.930,1.9778,0.9889,42
4,21.1655,80.400,3.5091,0.8773,42
8,10.3432,76.320,7.1807,0.8976,42
16,6.6176,82.090,11.2234,0.7015,42
32,4.5464,125.780,16.3366,0.5105,42
48,5.2343,203.220,14.1896,0.2956,42
64,5.8413,319.630,12.7150,0.1987,42
