threads,wall_s,cpu_s,speedup,efficiency,ncands
1,5.4894,5.460,1.0000,1.0000,3
2,2.8116,5.600,1.9524,0.9762,3
4,1.4438,5.650,3.8019,0.9505,3
8,0.8401,6.460,6.5341,0.8168,3
16,0.5409,7.920,10.1483,0.6343,3
32,1.1687,34.970,4.6969,0.1468,3
48,1.0917,31.430,5.0283,0.1048,3
