threads,wall_s,cpu_s,speedup,efficiency,ncands
1,75.9153,75.110,1.0000,1.0000,42
2,38.6436,76.620,1.9645,0.9822,42
4,21.1808,81.630,3.5842,0.8960,42
8,11.8558,85.590,6.4032,0.8004,42
16,5.2635,81.110,14.4230,0.9014,42
32,3.0827,93.050,24.6261,0.7696,42
48,3.5201,90.410,21.5661,0.4493,42
